Date_Range,Event,embed_link,Drive_Link,Sketch_ID,tag1,tag2,tag3
5-22-19,Meet with Roni to Discuss Multinet,https://docs.google.com/document/d/e/2PACX-1vTXECNthJ5k90u2Qh_SETSahjAIWV4O6Bg3m8Q9W1qZRS8g2X4XS-9iQi6W3YCv_OP4eoWgM70bTjGc/pub?embedded=true,https://drive.google.com/open?id=1X-Qt-K5uOsnZTsf4eCm2wgyqw3yUbYb_q7hzL03ckts,null,brainstorm,assesment,
5-22-19,Sketch Brainstorm Ideas,https://docs.google.com/document/d/e/2PACX-1vR6SPeyX2sYBu68mvxsyyx7dn7Qvy20NEWwDhBz6exOTKX8iAtQYqIvvOH16xA_-JzSls2Iu8VbpehT/pub?embedded=true,https://drive.google.com/open?id=19WhXqPs9Plo2tDmPzquWfFxfINy2Zcd4abUgO1cMgPs,null,brainstorm,,
5-24-19,,null,null,work1,workshop,documentation,sketch
5-24-19,,null,null,work2,workshop,documentation,sketch
5-24-19,,null,null,work3,workshop,documentation,sketch
5-24-19,,null,null,work4,workshop,documentation,sketch
5-24-19,,null,null,work5,workshop,documentation,sketch
5-24-19,,null,null,work6,workshop,documentation,sketch
5-24-19,,null,null,work7,workshop,documentation,sketch
5-24-19,,null,null,work8,workshop,documentation,sketch
5-24-19,,null,null,work9,workshop,documentation,sketch
5-24-19,,null,null,work10,workshop,documentation,sketch
5-24-19,,null,null,work11,workshop,documentation,sketch
5-24-19,,null,null,work12,workshop,documentation,sketch
5-24-19,,null,null,work13,workshop,documentation,sketch
5-24-19,Workshop Notes,https://docs.google.com/document/d/e/2PACX-1vT9VQM-cpRhLDDKqF2yCWCNI3VHk7ZTRbwyFKR8U-0i0_rNsQzPhNxIw3tqE2MyNxIssM0mLnkcvS_i/pub?embedded=true,https://drive.google.com/open?id=1qZkIZzwFfdkR5Ok7EOUawomJOa_ejXtcHHo_SpBKgB4,null,brainstorm,interview,
5-27-19,Summarized Needs from Workshop,https://docs.google.com/document/d/e/2PACX-1vTLtSRe4AsPGAREc17acbj61NMjZheBNQGOn6KU8bcjVBPVQy7URLCZmdk0R_i_ij9WNVDST1F0aoQP/pub?embedded=true,https://drive.google.com/open?id=13aJrHNAsp5tFBLYEnXEE_3XIIlB13cwhbEOOtF5W9oY,null,brainstorm,analysis,
5-28-19,Sketchbook,null,null,528,sketch,brainstorm,
5-29-19,Skype with James and Luke,https://docs.google.com/document/d/e/2PACX-1vS0O867bIkQuZw7x5j9Gj-ySg_n0p24QwJCmdz5ofXeinFiV2L8USuZNgUqifP5p3S5R0AJrb1tsVNQ/pub?embedded=true,https://drive.google.com/open?id=1BjxRa-8FrnfzE_esX2lvaNdDwlLTPYGgmPmU6xmNtKI,null,interview,collaboration,
